02,79181234582,20230101234509,20230101235959
01,79181234586,20230115011659,20230115013647
01,79181234567,20230105035257,20230105040755
01,79181234572,20230112024911,20230112025507
02,79181234570,20230127200236,20230127201506
01,79181234597,20230110120420,20230110120659
01,79181234589,20230105194728,20230105195546
02,79181234607,20230101063039,20230101063119
01,79181234567,20230114075238,20230114080323
01,79355540845,20230129100701,20230129101907
01,79181234580,20230128093829,20230128095215
01,79181234580,20230123125254,20230123131031
02,79181111112,20230127122605,20230127124036
01,79181234605,20230106133448,20230106135431
02,79181234570,20230109142548,20230109143748
02,79181234585,20230126093710,20230126095320
01,79181234596,20230114025826,20230114031648
01,79181111112,20230110203453,20230110205334
02,79181234592,20230108093438,20230108095425
01,79181234576,20230128135556,20230128140521
02,79181111111,20230128184623,20230128185804
02,79181234607,20230116210248,20230116210315
02,79806435550,20230103184146,20230103190140
01,79181234607,20230123022626,20230123023557
01,79181234606,20230122094535,20230122100528
02,79497244347,20230114022002,20230114022325
01,79181234583,20230121161308,20230121162138
02,79181111112,20230112140418,20230112142027
02,79181234581,20230127102447,20230127102805
01,79181234604,20230117031704,20230117032222
02,79210017003,20230109212657,20230109212902
02,79210017003,20230129061602,20230129062241
02,79181234577,20230129083249,20230129084316
02,79619468104,20230129011143,20230129011244
02,79460660064,20230126131645,202301261324
01,79570121583,20230116233305,20230116234220
01,79181234602,20230108213426,20230108214248
01,79181234606,20230102064738,20230102065350
01,79181234572,20230124051544,20230124052749
02,79181111112,20230104232506,20230104232840
01,79181234587,20230128013337,20230128013820
01,79181234588,20230129191525,20230129191638
01,79180000000,20230122030340,20230122031519
01,79181234567,20230120132351,20230120134331
02,79181234571,20230129012650,20230129014313
01,79032872579,20230118132119,20230118133423
01,79180000000,20230122194042,20230122195136
02,79181234582,20230127202624,20230127203947
02,79181234605,20230122165714,20230122170212
01,79210017003,20230124165051,20230124170013
02,79181234585,20230125150409,20230125151845
01,79181111114,20230113134219,20230113134828
02,79181234582,20230108185945,20230108191255
02,79491786509,20230102080934,20230102081608
02,79181234601,20230102230145,20230102232050
02,79182222222,20230129135218,20230129140049
02,79181234581,20230108113505,20230108115050
02,79181111113,20230113131614,20230113133032
01,79181234587,20230110094747,20230110094810
01,79181234571,20230108210336,20230108212318
02,79181234571,20230129072452,20230129073046
01,79181111111,20230106083741,20230106084707
02,79181111114,20230127161935,20230127163154
01,79182222221,20230116170901,20230116172024
02,79181234576,20230124033831,20230124035003
02,79181234605,20230122221215,20230122222939
02,79180000000,20230113172609,20230113172753
02,79181234589,20230104121422,20230104121425
02,79181234600,20230125141913,20230125143535
02,79181111112,20230125154014,20230125155326
02,79181234605,20230125203001,20230125203039
02,79181234599,20230115165303,20230115170459
02,79181234581,20230112183030,20230112183926
01,79181234599,20230114155543,20230114155819
02,79181234604,20230124120827,20230124121101
01,79181234596,20230128053554,20230128054058
01,79181234585,20230112182547,20230112184156
02,79181234606,20230108082611,20230108082851
02,79181234606,20230125152403,20230125154039
01,79181234583,20230114095349,20230114100913
02,79181111112,20230115072712,20230115074704
02,79180000000,20230112225830,20230112231037
02,79181234606,20230127011109,20230127012512
02,79181234596,20230127064924,20230127070827
01,79529160882,20230125161852,20230125162159
01,79182222221,20230109115723,20230109120235
