02,79181234569,20230406112233,20230406113344,06
01,79181234569,20230406135500,20230406135707,06
02,79181234569,20230406210115,20230406210117,06
02,79181234572,20230410100000,20230410100100,06
01,79181234573,20230410192516,20230410192517,06
02,79181234575,20230412233341,20230412233441,03
01,79181234576,20230413171851,20230413174749,03
02,79181234576,20230413214017,20230413224537,03
01,79181234576,20230413230530,20230413230532,03
02,79181234577,20230414000000,20230414000001,03
02,79181234579,20230416161616,20230416161716,11
02,79181234580,20230417012141,20230417110147,11
01,79181234581,20230420081618,20230420105631,11
01,79181234581,20230421152134,20230421153144,11
01,79181234581,20230421190021,20230421191238,11
01,79181234582,20230422041715,20230422090021,11
02,79181234582,20230422121212,20230422125212,11
02,79181234582,20230422223112,20230422223609,11
01,79181234583,20230423160000,20230423174000,11
01,79181234583,20230423180120,20230423181120,11
02,79181234583,20230423230001,20230423235901,11
01,79181234584,20230424112541,20230424120541,11
02,79181234584,20230424181814,20230424183854,11
01,79181234585,20230425074140,20230425081140,11
01,79181234585,20230425141500,20230425141859,11
01,79181234585,20230425210000,20230425210110,11
01,79181234586,20230426035959,20230426045959,11
01,79181234586,20230426051515,20230426062535,11
01,79181234586,20230426160521,20230426165531,11
01,79181234588,20230428040404,20230428040504,11
01,79181234589,20230429000005,20230429000006,11
02,79181234591,20230402032050,20230402032150,82
01,79181234592,20230403151800,20230403155858,82
02,79181234592,20230403211415,20230403211909,82
02,79180000000,20230405150107,20230405150207,82
01,79180000000,20230406211201,20230406213651,82
02,79180000000,20230406221221,20230406221849,82
01,79181234596,20230407130000,20230407131547,82
02,79181234596,20230407165115,20230407170115,82
01,79180000000,20230407191910,20230407193130,82
02,79180000000,20230407220550,20230407220940,82
02,79181234605,20230416120000,20230416121000,03
02,79181234606,20230416120000,20230416121000,03
02,79181234607,20230416120000,20230416121000,03
